level, n0, prime, v, t
1, 2, 23371, 71,130
1, 3, 16067, 79, 83
1, 4, 13397, 83, 66
1, 2,28277,69,129
1, 3,19709,79,82
1, 4,16229,83,65
3, 2,40787,103,195
3, 3,28411,117,124
3, 4,22901,123,98
3, 2,52667,103,195
3, 3,36629,115,123
3, 4,30803,123,98
5, 2,61717,137,261
5, 3,42677,153,165
5, 4,35507,163,131
5, 2,83579,135,260
5, 3,58171,153,165
5, 4,48371,161,131
