level, n0, prime, v, t
1, 2, 15461, 71, 132
1, 3, 10891, 79, 83
1, 4, 9283, 83, 66
1, 2, 19813, 71, 131
1, 3, 14051, 79, 83
1, 4, 11909, 83, 66
3, 2, 27701, 103, 197
3, 3, 19949, 117, 125
3, 4, 16747, 123, 99
3, 2, 38069, 103, 196
3, 3, 27179, 117, 124
3, 4, 22853, 123, 98
5, 2, 43397, 137, 263
5, 3, 31069, 155, 166
5, 4, 26251, 163, 132
5, 2, 61211, 137, 261
5, 3, 43499, 153, 165
5, 4, 36877, 163, 131
